name_genres,title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue,return
"['Drama', 'Romance']",The Prime Gig,2000-01-01,2000,1.112059,11.0,5.6,"['Vince Vaughn', 'Julia Ormond', 'Ed Harris', 'Rory Cochrane', 'Wallace Shawn', 'Stephen Tobolowsky', 'George Wendt']",Gregory Mosher,0.0,0.0,0.0
"['Crime', 'Drama']",Requiem for a Dream,2000-10-27,2000,6.874828,2525.0,7.9,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans', 'Christopher McDonald', 'Louise Lasser', 'Marcia Jean Kurtz', 'Janet Sarno', 'Suzanne Shepherd', 'Mark Margolis', 'Joanne Gordon', 'Charlotte Aronofsky', 'Peter Maloney', 'Denise Dowse', 'Olga Merediz', 'Ben Shenkman', 'Keith David', 'Dylan Baker', 'Bill Buell', 'Darren Aronofsky', 'Lianna Pai', 'Stanley B. Herman', 'Nina Zavarin', 'Heather Litteer', 'Gregg Bello', ""Shaun O'Hagan"", 'Jimmie Ray Weeks']",Darren Aronofsky,4500000.0,7390108.0,1.6422462222222223
"['Drama', 'Fantasy']","Raging Sun, Raging Sky",2009-10-15,2009,0.561648,7.0,4.0,"['Jorge Becerra', 'Javier Oliván', 'Guillermo Villegas', 'Joaquín Rodríguez', 'Juan Carlos Torres', 'Fabian Storniolo', 'Harold Torres', 'Baltimore Beltran', 'Ruben Santiago', 'Ruben Angelo']",Julián Hernández,1000000.0,0.0,0.0
"['Fantasy', 'Adventure', 'Comedy', 'Family']",The Love Bug,1997-11-29,1997,4.482274,21.0,5.0,"['Bruce Campbell', 'John Hannah', 'Alexandra Wentworth', ""Kevin J. O'Connor"", 'Dana Gould', 'Harold Gould', 'Micky Dolenz', 'Clarence Williams III', 'Dean Jones', 'Burton Gilliam']",Peyton Reed,0.0,0.0,0.0
"['Drama', 'Science Fiction']",The Clone Returns Home,2008-10-19,2008,0.534662,7.0,5.9,"['Hiromi Nagasaku', 'Mitsuhiro Oikawa', 'Kyusaku Shimada', 'Eri Shida']",Kanji Nakajima,0.0,0.0,0.0
"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Music']",The Good Night,2007-01-25,2007,8.031164,41.0,5.7,"['Penélope Cruz', 'Martin Freeman', 'Gwyneth Paltrow', 'Simon Pegg', 'Danny DeVito', 'Sonia Doubell', 'Steffan Boje', 'Michael Gambon', 'Stephen Graham', 'Juliana Kiehl']",Jake Paltrow,15000000.0,20380.0,0.0013586666666666667
"['Drama', 'Thriller', 'Mystery']",Shutter Island,2010-02-18,2010,15.813629,6559.0,7.8,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Emily Mortimer', 'Michelle Williams', 'Max von Sydow', 'Jackie Earle Haley', 'Patricia Clarkson', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas', 'Robin Bartlett', 'Christopher Denham', 'Spencer Treat Clark', 'Joseph Sikora', 'Curtiss Cook', 'Gary Galone', 'John Franchi', 'Nellie Sciutto', 'Raymond Anthony Thomas', 'Joseph McKenna', 'Ruby Jerins', 'Tom Kemp', 'Bates Wilder', 'Drew Beasley', 'Dan Marshall']",Martin Scorsese,80000000.0,294804195.0,3.6850524375
"['Adventure', 'Fantasy', 'Action']",Thor,2011-04-21,2011,29.158489,6678.0,6.6,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Kat Dennings', 'Clark Gregg', 'Colm Feore', 'Idris Elba', 'Ray Stevenson', 'Tadanobu Asano', 'Josh Dallas', 'Jaimie Alexander', 'Rene Russo', 'Maximiliano Hernández', 'Richard Cetrone', 'Darren Kendrick', 'Joshua Cox', 'Jamie McShane', 'J. Michael Straczynski', 'Stan Lee', 'Samuel L. Jackson', 'Jeremy Renner', 'Adriana Barraza', 'Justice Jesse Smith', 'Joseph Gatt', 'Luke Massy', 'Jason Camp', 'Buddy Sosthand', 'Blake Silver', 'Dale Godboldo', ""Patrick O'Brien Demsey""]",Kenneth Branagh,150000000.0,449326618.0,2.995510786666667
"['Comedy', 'Romance', 'Fantasy']",Akko's Secret,2012-08-31,2012,0.993302,3.0,6.7,"['Haruka Ayase', 'Masaki Okada', 'Takeshi Kaga', 'Masako Motai', 'Muga Tsukaji', 'Shosuke Tanihara', 'Kazue Fukiishi', 'Ren Osugi', 'Teruyuki Kagawa', 'Keiko Horiuchi', 'Shungiku Uchida', 'Mika Hijii', 'Hayato Kakizawa']",Taisuke  Kawamura,0.0,0.0,0.0
"['Drama', 'Family', 'TV Movie']",Anne of Green Gables,2016-02-15,2016,3.4751,13.0,6.0,"['Ella Ballentine', 'Sara Botsford', 'Martin Sheen', 'Julia Lalonde', 'Zoe Fraser', 'Kyle Gatehouse', 'Jaime Feggi', 'Stefani Kimber', 'Natalia Payne', 'Alanis Peart', 'Isabella Ricker', 'Linda Kash', 'Drew Haytaoglu', 'Kate Hennig']",John Kent Harrison,0.0,0.0,0.0
"['Action', 'Adventure', 'Comedy', 'Thriller']",Blast,2004-01-01,2004,1.52455,12.0,4.6,"['Eddie Griffin', 'Vinnie Jones', 'Breckin Meyer', 'Joel Pollak', 'Vivica A. Fox', 'Nicky Andrews', 'Tom Lister Jr.', 'Nadine Velazquez']",Anthony Hickox,20000000.0,0.0,0.0
"['Drama', 'Foreign', 'Romance']",More Than Blue,2009-03-11,2009,1.103791,21.0,6.9,"['Lee Bo-young', 'Lee Beom-soo', 'Jong-hak Choi', 'Wung-hoe Gu', 'Cheol-hyeong Im', 'Eun-ran Jo', 'Myeongsin Kim', 'Kyeong-seon Kim', 'Ha-jin Lee', 'Lee Han-Wi', 'Kwon Sang-Woo', 'Nam Gyu-ri', 'Jung Ae-yeon']",Won Tae-yeon,0.0,0.0,0.0
['Comedy'],Pigs,2007-11-05,2007,4.85165,22.0,4.3,"['Jefferson Brown', 'Darryn Lucio', 'Christopher Elliott', 'Melanie Marden']",Karl DiPelino,0.0,0.0,0.0
['Drama'],Rags & Tatters,2013-09-10,2013,0.343031,4.0,5.4,"['Amr Abed', 'Yara Goubran', 'Mohamed Mamdouh', 'Asser Yassin', 'Atef Yousef']",Ahmad Abdalla,0.0,0.0,0.0
"['Comedy', 'Drama', 'Romance']",The Brothers McMullen,1995-08-09,1995,2.039196,23.0,6.3,"['Shari Albert', 'Maxine Bahns', 'Catharine Bolz', 'Connie Britton', 'Edward Burns', 'Peter Johansen', 'Jennifer Jostyn', 'Michael McGlone', 'Elizabeth McKay', 'Jack Mulcahy']",Edward Burns,0.0,0.0,0.0
"['Comedy', 'Drama']",Infinitely Polar Bear,2014-01-18,2014,6.502973,135.0,6.9,"['Mark Ruffalo', 'Zoe Saldana', 'Imogene Wolodarsky', 'Ashley Aufderheide', 'Wallace Wolodarsky', 'Keir Dullea', 'Beth Dixon', 'Georgia Lyman', 'William Xifaras', ""Mary O'Rourke"", 'Chris Papavasiliou', 'Liam McNeill', 'Mark S. Cartier', 'Alicia Love', 'Manoah Angelo', 'Nekhebet Kum Juch', 'Muriel Gould', 'Paul Elias', 'Uatchet Jin Juch', 'Wendy Forbes', 'Tod Randolph', 'Patrick Shea', 'Brianne Siddall', 'Christopher Alan', 'Christopher S. Porter', 'George J. Vezina', 'Michael Underhill', 'Mike Jablon', 'David Weindel']",Maya Forbes,6700000.0,1430655.0,0.21353059701492538
"['Adventure', 'Science Fiction', 'Action']",Starship Troopers 3: Marauder,2008-07-19,2008,11.161339,154.0,4.2,"['Casper Van Dien', 'Jolene Blalock', 'Stephen Hogan', 'Boris Kodjoe', 'Amanda Donohoe', 'Marnette Patterson', 'Danny Keogh', 'Stelio Savante', 'Cécile Breccia', 'Garth Breytenbach', 'Graeme Richards', 'Tanya van Graan', 'Antonio Summerton', 'Nicole Salandra', 'Cokey Falkow', 'Stephen Jennings']",Edward Neumeier,9000000.0,0.0,0.0
['Drama'],Dura,2005-07-21,2005,0.803834,3.0,4.3,"['Oksana Korostyshevskaya', 'Aleksandr Baluev', 'Regina Myannik', 'Evgeniy Redko', 'Dmitriy Shevchenko', 'Igor Zolotovitsky', 'Tatyana Lyutaeva', 'Olga Volkova']",Maxim Korostyshevsky,0.0,0.0,0.0
"['Comedy', 'Romance']",Moving McAllister,2007-09-13,2007,2.252867,15.0,4.9,"['Ben Gourley', 'Mila Kunis', 'Jon Heder', 'Rutger Hauer', 'Hubbel Palmer', 'Billy Drago']",Andrew Black,0.0,0.0,0.0
"['Adventure', 'Animation', 'Comedy', 'Fantasy']",Sausage Party,2016-07-11,2016,17.56963,2310.0,5.6,"['Seth Rogen', 'Kristen Wiig', 'Jonah Hill', 'Bill Hader', 'Michael Cera', 'James Franco', 'Danny McBride', 'Craig Robinson', 'Paul Rudd', 'Nick Kroll', 'David Krumholtz', 'Edward Norton', 'Salma Hayek', 'Anders Holm', 'Scott Underwood', 'Sugar Lyn Beard', 'Conrad Vernon', 'Ian James Corlett', 'Michael Daingerfield', 'Jason Simpson', 'Vincent Tong', 'Karen E. Wright', 'Lauren Miller', 'Sam Vincent', 'Greg Tiernan', 'Brian Dobson', 'Harland Williams', 'Alistair Abell', 'Iris Apatow', 'Michael Dobson', 'Ian Hanlin', 'Maryke Hendrikse', 'Nicole Oliver', 'Kelly Sheridan']",Conrad Vernon,19000000.0,140705322.0,7.405543263157894
"['Drama', 'Thriller']",Love Walked In,1997-01-18,1997,0.376985,1.0,6.0,"['Denis Leary', 'Terence Stamp', 'Aitana Sánchez-Gijón', 'Michael Badalucco', 'Danny Nucci', 'Gene Canfield', 'Marj Dusay', 'Neal Huff', 'J.K. Simmons', 'Justin Lazard', 'Rocco Sisto', 'Jimmy McQuaid', 'Murphy Guyer', 'Paul Eagle', 'Fiddle Viracola', 'Jeremy Webb', 'Gregory Scanlon', 'Gary DeWitt Marshall', 'D.C. Benny', 'Moira Kelly', 'Patrick Boll']",Juan José Campanella,0.0,0.0,0.0
"['Drama', 'Thriller']",The Whole Truth,2016-03-25,2016,12.664893,202.0,6.3,"['Keanu Reeves', 'Renée Zellweger', 'Gugu Mbatha-Raw', 'Gabriel Basso', 'Jim Belushi', 'Sean Bridgers', 'Christopher Berry', 'Ritchie Montgomery', 'Jim Klock', 'Nicole Barré', 'Jason Kirkpatrick', 'Jackie Tuttle', 'Mattie Liptak', 'Ryan Grego', 'Lara Grice', 'Lucky Johnson', 'Lyndsay Kimball', 'Thomas Francis Murphy', 'Dana Gourrier', 'Samantha Beaulieu', 'Wes Cannon', 'Jeff Grays', 'Barry Smith', 'Larry McGhee', 'Chauntrell Shelby', 'Mac Alsfeld', 'Jerome Andries', 'Chris Angerdina', 'Michael D. Anglin', 'John L. Armijo', 'Jon Arthur', 'Nazeema Bartek', 'Sean Beck', 'Tearyn Belanger', 'Jodi Lyn Brockton', ""Kina Dach'e Bullock"", 'Michelle DeVito', 'Geraldine Glenn', 'Genevieve Grogan', 'Sadarias Harrell', 'Tamika Shanell Johnson', 'Patrick Kearns', 'John C. Klein', 'Donald M. Krause', 'Susie Labry', 'Jamara Laster', 'Cynthia LeBlanc', 'Elton LeBlanc', 'Justin Lebrun', 'Tracy B. Mann', 'Scott Everett Nichols', 'Lisa Raziano', 'Gus Rhodes', 'Maritta Viola Sattelmaier', 'Carl Singleton', 'Bob Walker', 'Jesse Yarborough']",Courtney Hunt,0.0,0.0,0.0
"['Drama', 'Romance']",Not Easily Broken,2009-01-09,2009,7.256932,10.0,6.3,"['Моррис Честнат', 'Taraji P. Henson', 'Maeve Quinlan', 'Kevin Hart', 'Jenifer Lewis', 'Eddie Cibrian', 'Wood Harris']",Bill Duke,0.0,0.0,0.0
